,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2019-10-01,278224.1604578889,550497.7568324626,245543.58812550866,352487.81111690955,353920.08287279605,215509.43422536444,173606.81715395936,431755.9649191559,272644.29943086935,408548.1791595334,398996.7730143674,197289.28936084989,578527.1068856961,306579.72839234216,619186.2172604197,291843.4912816905,344020.4549275882,206672.9100330245,281795.61880634626,259421.69564445343,185652.80659457843,318969.99023603165,191800.64970471166,193677.45596827997,209644.1973807643,267982.15633508936,205065.9881029407,366051.0333064957,200101.936447026,301482.43144849455,310461.3611083864,243609.41508984138,162734.94485965432,212745.93539257182,149552.47731095777,141763.28108173946,161983.73323667492,120687.6042139576,285947.14405962516,226014.41208174409,261337.0122643554,143704.72989255283,169623.41170818204,156459.25923403632,274059.0500160977,258891.07593982536,140687.73323779888,214397.970649506,183833.88549576572,164434.71368135442,156740.09395790283
2019-11-01,279480.3934256053,553887.4240232133,246840.85351453465,353979.07237605733,355201.3522418746,216572.41872368893,174446.0424390074,433199.7198637097,274616.151012325,411065.12404194224,400725.34200639115,197622.62156520426,579679.7274011722,307077.53305330634,620223.6209019359,293197.7116830042,346428.1795892659,207857.25607834358,283048.0159679302,260423.95988216787,186176.706723543,319845.40109807864,192870.58837907016,194680.43241939927,210968.1591286345,269378.0459513773,206539.8192457543,367654.3762918473,201185.3155509775,303050.98483171716,311964.7988738743,245082.5305739964,163813.68833442903,213720.19321226192,150003.40263212755,142096.38672148148,162918.72489372024,120840.5634059582,288785.14991090074,226690.33748180702,261872.40584384548,144519.45064763437,170399.92694140342,157425.77344452435,274224.64756554755,260292.19132284843,141590.67171600807,215572.68734193267,184833.62002327642,165253.51896845383,157579.04889615448
2019-12-01,281023.3912896453,557400.4202268029,248439.62569978528,355875.82312424417,356888.07623191533,217729.86447498834,175306.1273795591,434880.30219152477,276677.13994120434,414262.9564782867,402777.29684609995,198341.23023185754,581186.9569303646,307904.18148917187,621815.5373713815,294661.0032415178,349274.09058604017,209317.2178297486,284490.15351083915,261786.90866777906,187200.80083525841,321054.9662370074,194030.94934625868,195873.29216019704,212426.15014842735,271098.2925412673,208137.66994763442,369808.64282340277,202630.25720737284,304763.3914295902,313438.9306724716,246555.31708149312,165199.7965651673,214831.9172853426,150726.08889555113,142645.53509041402,164004.86293902455,121086.43866869369,291982.96201126365,227546.59197446238,262740.12281058566,145482.64604022657,171419.43828918258,158525.72008461607,275014.5525963363,262069.50997229214,142879.7431981888,216916.52542041245,185926.4684539873,166074.32008434276,158500.89912006145
2020-01-01,282697.31190669345,560269.6803168608,250376.60250841873,358213.93646343006,359046.155295259,218904.9541095819,176250.48503113352,437036.3425959049,279169.82630005927,417793.29701314325,405078.6925205108,199353.6746364398,583819.0624254169,309467.04409231985,624188.5405732876,296337.8263801471,352278.19770116796,210899.73185438986,286404.5239860902,263417.03606946,188640.15596336336,322589.34358249494,195176.62608574345,197148.0707732487,213786.83312483932,272613.027549048,209921.1403374249,372657.8755144594,204133.68360169616,307174.6603871368,314695.3341122534,248113.05340081351,166489.74887494254,216034.45333062738,151185.03251274265,142807.07941761828,165214.76484345546,121148.83255929779,295259.1591207252,227897.18247106636,263911.54804069316,146469.26349934321,172438.93135833018,159574.96873594256,276203.21245855343,263326.9921335073,144390.43379522624,217927.4313527377,186941.92912244317,166383.25188453318,159531.64785433526
2020-02-01,284317.87053958484,562577.1433501303,252201.48911125967,359996.4500320626,361121.1011031105,220041.78377684552,177454.62437467198,439481.1883445534,281896.51982896467,421658.3016737154,407642.45368911367,200533.2106926419,587434.3042147394,311200.9631033048,626673.4197547159,298073.1270522029,355488.62544848287,212476.39438324547,288600.57422210154,265230.5320137449,189959.8246467357,324311.1717998015,196377.37512426815,198202.6589802367,215116.08907746768,273789.7119658846,211541.3429652755,375557.0105563596,205340.6538967801,309655.43747698836,315495.8775434974,249764.01178910278,167565.41537595936,217173.4890434853,151757.32797955765,143100.05650863936,166410.4545551976,121636.2137407661,298696.1842053405,228132.575679441,265166.7929185039,147308.1992138862,173564.3039006841,160741.11559021735,277559.2979248484,264295.15511205205,145670.10058291117,218785.8540457876,187914.34430581552,166687.73301627496,160577.49931298816
2020-03-01,285830.807135577,564800.2756009009,253804.79546494002,361637.0862868593,363726.5506358014,221150.491880607,178920.3042286612,442539.81100939686,284990.4444611099,425978.80610666587,410593.27820491587,201686.76893929578,592260.8777283294,313127.8281188331,629085.6679115676,300241.03077851696,358890.59160795406,213970.66572091624,291425.41584090894,267213.9435393124,190969.36272669802,326114.3412155805,197665.94239761602,199319.56289490047,216600.89696403896,274778.6909519878,213114.93893744083,378605.55056615104,206572.10730908043,312417.7707573438,315947.20402117656,251981.07630542025,168668.5604539912,218463.5627365771,152558.27038205965,143786.58800936377,167709.8709844357,122485.35368187742,302462.62844315293,228397.77438954075,266908.1757371435,148206.74508412732,174826.38131592996,162085.3212406671,279001.99441110133,265204.97759069916,146592.43417639853,219821.63475424994,188884.2607472134,167045.1220049645,161710.88725900502
2020-04-01,287099.3571156604,566853.0955736468,254780.01997974303,362999.7894394635,366245.76458240085,221949.76190085887,180299.1401910818,445209.98159957654,287788.4209941409,430285.83421369834,413401.8722218691,202518.698176487,597015.3394376133,314479.996136755,630993.6570460572,302319.58508390613,362080.96616525156,215155.16147887977,294008.77896413376,268985.88207199954,191774.1985043193,327719.91067053546,199078.96604108953,200343.57859157585,218030.24779835166,275803.35002556833,214441.43644659346,380980.8114317518,207847.97944840498,314757.80858965404,316004.57078643097,254280.6451089497,169816.15508322426,219800.1029016622,153715.13715529747,144737.3194056284,168959.84104192632,123586.40119437512,306211.6719055386,229098.24730955597,268589.94753593527,148985.03271583436,175963.3953380827,163392.86974992428,280095.69484055997,266499.88624872663,147090.08530900182,221061.33650027952,189818.8376212737,167610.60221320062,162738.90194534068
2020-05-01,287774.5357957363,567112.3664178499,255048.97048066338,364185.3757190153,368112.3175773658,222235.15907835957,180969.208856435,446808.0420538387,289731.9770653996,433022.3050927245,414742.09319262236,202626.4681956546,599731.2832339016,314828.16595363093,631268.1491517046,303995.80988802743,363988.748944605,215734.91168565102,295612.32634487434,269903.4626830456,192037.45927569107,328415.4914374049,199936.15313692027,201227.2523321039,218975.0757840445,276689.71591416583,215383.90907761615,382022.8344645335,209009.93490693773,315795.3216920704,315210.58613726136,256223.13428682717,170787.0933312615,220874.88047428554,154679.22611161417,145494.1992478102,169865.11332215878,124347.84813215783,309211.72772025026,229563.13587939608,269532.48310528626,149743.02518409406,176719.85317762266,164144.21545135873,280249.66392047657,267643.60979982506,147231.03147546182,222158.51305516696,190505.30591580455,168190.29189196182,163396.88295329176
2020-06-01,288205.0418803591,565884.0979559326,255183.8307926152,364826.2945670968,368827.5609018375,222405.98062737603,181199.57544851993,447527.13639037247,291066.46502893773,434476.265531428,414939.52435031836,202316.62501502506,600215.882990599,314606.4244117306,630407.9064698116,305249.70897950785,365033.5762040164,216108.95073005222,296259.2905511569,270123.0431735663,191938.4753046383,328539.9913997423,200290.5548959181,201996.2589966274,219670.43549189574,277313.3798979601,216100.10172498444,382087.4207313791,210153.97436838175,315896.5207999688,314097.0462108497,257846.4676715207,171611.65402248353,221598.30629577395,155456.57182013112,145768.58160305905,170405.8756848656,124660.7277720971,311389.87357569294,229847.98250450112,269692.9028934667,150425.2963267545,177134.23658948008,164608.16858642726,280070.90539897693,268528.914295621,147387.9443440491,222920.49757603207,191113.47393346528,168686.9068582156,163856.9176640455
2020-07-01,288994.22510356066,565725.5956594888,255759.8652055539,365007.8186824238,368877.59886263456,223073.7386764839,181453.9045017596,448354.97375815315,292633.6824926248,435714.19950041245,415103.5933814398,202027.5187676628,600414.9529261525,314654.6348922066,629991.5635971561,306690.4257880977,366298.59118874726,216848.30778027003,297162.09467322985,270146.47657499014,191771.72167920475,328946.8881061036,200598.8527527715,203015.40146014103,220711.928532018,278247.15524343186,216882.81346751834,382315.7628255544,211679.79705205388,315999.4382299302,313523.851609279,259777.98703081897,172488.92423054806,222305.6839158315,156395.0209391308,146543.23697725442,170920.64805232894,124933.67955024213,313658.313762159,230156.56738670814,269748.58650012367,151382.79339282136,177903.80969615703,165444.73004496508,280512.3183156422,269477.04322410555,147834.5624139362,223932.88562972375,192050.90708203867,169403.22537799246,164523.9835985433
2020-08-01,290903.77149945317,569028.7389595632,257347.72695140776,365424.0335411785,369865.9152592439,224524.3032644776,182449.28064323578,450894.7271471202,295363.92315615056,438961.6975345914,416868.7205951456,202535.76352609802,602533.5914687328,315873.79394906363,632060.0766964568,309377.0194461048,369277.06245657196,218547.25960880742,299446.92188457615,270978.3156267216,192465.78047339956,330500.2687660859,201630.47216642016,204597.96857309667,222697.31509238167,280369.4343275759,218336.51673770137,384369.7106702351,213847.3216858195,317610.02159683354,314400.86770765245,262917.86167995527,173803.4653326137,223825.53996554785,157776.34927808223,147885.1059694287,171830.338142623,125674.46167697203,317116.6756976214,230935.32831488576,270995.52599618625,152820.00085921527,179365.01864710255,166851.2506245872,282185.3761536838,271009.5354083527,148938.84457283068,225447.26445565713,193649.2543717782,170391.08524002612,165898.65802187086
2020-09-01,294050.26263959706,576361.8415423817,259894.42463801242,367521.98533975956,372886.8379199519,226714.043601917,184572.5821707137,455762.3843690077,299671.4164035767,444805.21602009586,420703.77315917425,204152.5151738162,606883.6378484372,318128.0513199244,636968.2261026398,313898.49014801666,374311.4943065617,221263.7286254208,303585.1153413181,273142.029058627,194286.0297968071,333553.6923120049,203825.24939650446,206964.25452796536,225686.27200403388,284274.6538043782,220793.47656692952,388558.96579837566,216734.8908147373,321031.58807828976,316294.15718335257,267513.13715072715,175748.94434527424,226595.89112950474,159701.28059225125,149859.9215539738,173496.78369200256,127140.86463610448,322633.73655050254,232607.57804712173,273809.32647002087,154967.12028876288,181841.07149189687,168896.61301033173,285110.81913074217,273261.17281711474,150703.70661194168,227940.30274563844,196016.34576523173,172130.88596341127,168083.09553612635
